NTD_ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier
20177,2177,"Adirondack Transit Lines, Inc,",Adirondack Trailways,,Active,Full Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2019,4/30/2020,499 Hurley Avenue,,,Hurley,NY,12443,,2,http://www.trailwaysny.com/,1776,008916033,"10,702","9,428,015",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",24,,24,,,Tier II
20179,2179,"Leprechaun Lines, Inc.",HHBL,,Active,Reduced Reporter,Urban,Private Provider Reporting on Behalf of a Public Entity,,,,12/31/2019,4/30/2020,200 Leprechaun Lane,,2628,Newburgh,NY,12550,,2,http://www.leprechaunlines.com/,1791,057020489,132,"249,175",89,"Poughkeepsie-Newburgh, NY-NJ",,"423,566","1,295",327,6,,6,,,Tier II
20182,2182,Town of Highlands ,,Dial-a-Bus,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,254 Main Street,,,Highland Falls,NY,10928,,2,www.highlands-ny.gov/Departments-officials/Dial-a-Bus,3152,038243523,36,"6,886",89,"Poughkeepsie-Newburgh, NY-NJ",,"423,566","1,295",327,2,,2,,,Tier II
20183,2183,Town of Monroe ,Monroe DAB,Monroe Dial A Bus,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,91 Mine Road,,,Monroe,NY,10950,,2,https://www.monroeny.org/community/dial-a-bus.html,3152,146002307,20,"19,791",89,"Poughkeepsie-Newburgh, NY-NJ",,"423,566","1,295",327,5,,5,,,Tier II
20187,2187,Village of Kiryas Joel,KJ,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,,,566,Monroe,NY,10949,,2,,3152, 06755947,1,"22,246",89,"Poughkeepsie-Newburgh, NY-NJ",,"423,566","1,295",327,4,,4,,,Tier II
20188,2188,MTA Bus Company,MTABUS,,Active,Full Reporter,Urban,"Subsidiary Unit of a Transit Agency, Reporting Separately",,,,12/31/2019,4/30/2020,2 Broadway,,,New York,NY,10004,,2,http://www.mta.info/,1786,045445137,244,"7,706,403",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450","1,115",,"1,115",,,Tier I (Fixed Route VOMS)
20189,2189,"BillyBey Ferry Company, LLC",,,Active,Full Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2019,4/30/2020,Pier 79,459 12th Avenue,,New York,NY,10018,,2,http://www.nywaterway.com/,1414,963909101,70,"2,131,266",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",7,,7,,,Tier II
20190,2190,Port Imperial Ferry Corporation,,NY Waterway,Active,Full Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2019,4/30/2020,4800 Avenue at Port Imperial,,,Weehawken,NJ,7086,7142,2,http://www.nywaterway.com/,1414,958392946,776,"3,658,455",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",70,,70,,,Tier II
20192,2192,Bergen County,BCCT,Bergen County Community Transportation,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,178 Essex Street,,,Lodi,NJ,7644,,2,http://www.co.bergen.nj.us/community-transportation,1414,076687284,247,"948,406",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",65,,65,,,Tier II
20193,2193,Cumberland County,CATS,Cumberland Area Transit System,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,800 East Commerce Street,,,Bridgeton,NJ,8302,,2,http://www.co.cumberland.nj.us/aging/CATS,1414,030346899,484,"156,898",310,"Vineland, NJ",,"95,259","1,539",62,22,,22,,,Tier II
20194,2194,East Windsor Township,EW,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,16 Lanning Boulevard,,,East Windsor,NJ,8520,1999,2,http://www.east-windsor.nj.us/,1414,602542094,19,"27,190",429,"Twin Rivers-Hightstown, NJ",,"64,037","1,817",35,1,2,3,,,Tier II
20195,2195,Gloucester County,DTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,115 Budd Boulevard,,337,West Deptford,NJ,8096,,2,http://www.co.gloucester.nj.us/depts/h/hserv/transportation/default.asp,1414,967221321,329,"290,265",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",18,,18,,,Tier II
20196,2196,Middlesex County,MCAT,,Active,Reduced Asset Reporter,Asset,State Government Unit or Department of Transportation,,,,12/31/2019,4/30/2020,711 Jersey Avenue,,,New Brunswick,NJ,8901,,2,http://www.co.middlesex.nj.us/,1414,073133100,310,"805,001",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",,,,,,
20199,2199,County of Atlantic,ACTU,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,"201 Shore Rd., 2nd Fl. Rear",,,Northfield,NJ,8401,8225,2,https://www.atlantic-county.org/intergenerational-services/transportation.asp,1414,079497897,567,"263,670",150,"Atlantic City, NJ",,"248,402","1,985",125,41,,41,,,Tier II
20200,2200,South Jersey Transportation Authority,sjta,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,512 Lakeland Road, ,,Blackwood,NJ,8012,,2,http://www.sjta.com/,1414,080541719,"1,898","1,525,228",150,"Atlantic City, NJ",,"248,402","1,985",125,24,,24,,,Tier II
20201,2201,County of Cumberland,CCET,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,790 East Commerce Street,,1398,Bridgeton,NJ,8302,,2,http://www.ccoel.org/,1414,030346899,678,"150,972",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",8,,8,,,Tier II
20203,2203,Cape May County,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,4 Moore Road,DN 626,,Cape May Court House,NJ,8210,,2,https://capemaycountynj.gov/446/Fare-Free-Transportation,1414,075525899,251,"93,553",489,"Villas, NJ",,"51,291","1,514",34,29,,29,,,Tier II
20204,2204,"Senior Citizens United Community Services of Camden County, Inc.",SCUCS,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,12/31/2019,4/30/2020,537 W. Nicholson Road,,,Audubon,NJ,8106,2204,2,http://www.scucs.org/,1414,021044912,222,"508,932",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",44,,44,,,Tier II
20206,2206,County of Nassau,NICE,Nassau Inter County Express,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,700 Commercial Avenue,,,Garden City,NY,11530,,2,http://www.nicebus.com/,1787,002414696,285,"1,339,532",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",,320,320,,,Tier I (Fixed Route VOMS)
20208,2208,County of Burlington,BurLink,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,49 Rancocas Rd.,,6000,Mt. Holly,NJ,8060,6000,2,http://www.co.burlington.nj.us/,1414,833251390,833,"449,772",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",,6,6,,,Tier II
20210,2210,Morris County Human Services,MAPS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,,,900,Morristown,NJ,7963,900,2,http://www.co.morris.nj.us/,1414,080611700,482,"494,976",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",23,,23,,,Tier II
20211,2211,County of Mercer,TRADE,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,640 South Broad Street,,8068,Trenton,NJ,8650,8068,2,http://www.mercercounty.org/departments/transportation-and-infrastructure,1414,054177662,226,"367,063",128,"Trenton, NJ",,"296,668","2,810",106,25,,25,,,Tier II
20212,2212,County of Hunterdon,HCLink,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,3 Gauntt Place,,2900,Flemington,NJ,8822,4614,2,http://www.co.hunterdon.nj.us/,1414,069878833,438,"128,349",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",,26,26,,,Tier II
20213,2213,City of Mechanicville,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,36 N. Main St.,,,Mechanicville,NY,12118,,2,http://www.mechanicville.com/index.aspx?nid=253,1791,182806190,1,"5,177",67,"Albany-Schenectady, NY",,"594,962","2,012",296,1,,1,,,Tier II
20214,2214,Town of Warwick ,Warwick DAB,Warwick Dial A Bus,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,132 Kings Highway,,,Warwick,NY,10990,,2,https://www.townofwarwick.org/municipal-transit/,3152,087087441,142,"50,269",89,"Poughkeepsie-Newburgh, NY-NJ",,"423,566","1,295",327,6,,6,,,Tier II
20215,2215,City of Watertown NY,,CitiBus,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2019,10/31/2019,"City of Watertown, Department of Public Works","245 Washington Street, Suite 206",,Watertown,NY,13601,3381,2,http://www.watertown-ny.gov/index.asp?nid=110,3154,071600076,17,"25,290",455,"Watertown, NY",,"57,840","1,413",41,3,2,5,,,Tier II
20216,2216,Orange County,OCNY,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,Dept. of Planning,124 Main Street,,Goshen,NY,10924,,2,http://www.transitorange.info/,3152,012981593,62,"136,943",89,"Poughkeepsie-Newburgh, NY-NJ",,"423,566","1,295",327,,12,12,,,Tier II
20217,2217,"Hampton Jitney, Inc.",,,Active,Full Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2019,4/30/2020,395 County Road 39A,,,Southampton,NY,11968,,2,www.hamptonjitney.com,,082785734,"1,215","9,908,805",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",83,,83,,,Tier II
20219,2219,A&C Bus Corporation & Montgomery & Westside Owners Association,,,Active,Reduced Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2019,4/30/2020,430 Danforth Avenue,,,Jersey City,NJ,7305,,2,http://www.acbuscorp.com/,1414,065797508,13,"257,002",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",27,,27,,,Tier II
20220,2220,Broadway Bus Corporation,,,Active,Reduced Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2019,4/30/2020,1329 Kennedy Blvd.,,,Bayonne,NJ,7002,,2,http://www.supremetoursllc.com/broadway.html,1414,096865258,7,"100,344",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",10,,10,,,Tier II
22929,2T02,Seneca Nation of Indians,SNI,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,90 Ohi:yo' Way,,231,Salamanca,NY,14779,231,2,http://www.sni.org/,6855,074038266,,,0,New York Non-UZA,"Allegany Reservation, NY - Oil Springs Reservation, NY - Cattaraugus Reservation, NY",0,0,0,,2,2,,,
22930,,New York City Economic Development Corporation,NYCEDC,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2019,10/31/2019,One Liberty Plaza,,,New York,NY,10006,,2,https://www.ferry.nyc/,,073246910,37,"230,065",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",,29,29,,,Tier II
2R01,2R01,NJ Transit,NJTRANSIT,,Active,State Reporter,Rural,,,,,6/30/2019,10/31/2019,One Penn Plaza East,,,Newark,NJ,7105,2246,2,http://www.njtransit.com/,1414,038485140,,,,,,,,,,,,,,
2R01-20197,2197,Meadowlands Transportation Brokerage Corporation,EZ Ride,EZ Ride,Active,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,144 Park Place East,,,Wood Ridge,NJ,7075,1804,2,http://www.ezride.org/,1414,033444444,,,,,,,,,,,,,,
2R01-20924,2R01-026,"Academy Lines, LLC",,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,2R01,NJ Transit,Intercity Bus,6/30/2019,10/31/2019,111 Paterson Ave.,,,Hoboken,NJ,7030,,2,http://www.academybus.com,,096863055,329,"289,920",,,,,,,,,,,,
2R01-20928,2R01-014,Warren County,WCT,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Rural General Public Transit,6/30/2019,10/31/2019,1 Shotwell Drive,,,Belvidere,NJ,7823,,2,http://co.warren.nj.us/humanservices,,073654105,484,"156,898",,,,,,,,22,22,,,
2R01-20933,2R01-009,Monmouth County Division of Transportation,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Rural General Public Transit,6/30/2019,10/31/2019,250 Center St.,,,Freehold,NJ,7728,,2,http://www.visitmonmouth.com,,068704485,222,"508,932",,,,,,,14,,14,,,
2R01-20944,2R01-015,Salem County,,,Active,Rural Reporter,Rural,Area Agency on Aging,2R01,NJ Transit,Rural General Public Transit,6/30/2019,10/31/2019,98 Market Street,,,Salem,NJ,8079,,2,http://www.salemco.org,,077061018,567,"253,000",,,,,,,,16,16,,,
2R01-20950,2R01-013,Sussex County Transit,Skylands Ride,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Rural General Public Transit,6/30/2019,10/31/2019,201 Wheatsworth Road,,,Hamburg,NJ,7419,,2,http://www.sussex.nj.us/,,080609969,251,"96,304",,,,,,,24,,24,,,
2R01-22931,,Bayonne Economic Opportunity Foundation,,,Active,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,555 Kennedy Boulevard,,1032,Bayonne,NJ,7002,1032,2,http://beof.org,,,,,,,,,,,,,,,,
2R01-22932,,Borough of Carteret,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,61 Cooke Avenue - Memorial Municipal Building,,,Carteret,NJ,7008,2602,2,https://www.carteret.net,,,,,,,,,,,,,,,,
2R01-22933,,Borough of Cliffside Park Housing Authority,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,500 Gorge Road,,,Cliffside Park,NJ,7010,2243,2,https://www.cphousingauthority.com,,,,,,,,,,,,,,,,
2R01-22934,,Borough of Roselle Park,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,314 Chestnut Street - Casano Community Center,,,Roselle Park,NJ,7204,1904,2,http://rosellepark.net,,,,,,,,,,,,,,,,
2R01-22936,,City of Margate (NJ),,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,9001 Winchester Avenue,,,Margate,NJ,8402,1239,2,https://www.margate-nj.com,,,,,,,,,,,,,,,,
2R01-22937,,City of Passaic,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,330 Passaic Street,,,Passaic,NJ,7055,5815,2,https://www.cityofpassaic.com,,,,,,,,,,,,,,,,
2R01-22938,,County of Passaic,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,1310 Route 23 North - Passaic County Paratransit Offices,,,Wayne,NJ,7470,5825,2,http://www.passaiccountynj.org,,,,,,,,,,,,,,,,
2R01-22939,,City of Plainfield,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,"400 East Front Street, 1st Floor-Plainfield Senior Citizens Ctr",,,Plainfield,NJ,7060,1720,2,http://www.plainfieldnj.gov,,,,,,,,,,,,,,,,
2R01-22940,,City of Pleasantville,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,18 N. First Street,,,Pleasantville,NJ,8232,2604,2,http://www.pleasantville-nj.org,,,,,,,,,,,,,,,,
2R01-22941,,County of Ocean,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,1959 Route 9 - CN 2191,,,Toms River,NJ,8755,1211,2,http://www.co.ocean.nj.us,,,,,,,,,,,,,,,,
2R01-22942,,County of Union,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,79 West Grand Street,,,Elizabeth,NJ,7202,3451,2,http://ucnj.org,,,,,,,,,,,,,,,,
2R01-22943,,Long Beach Island Community Center Inc.,,,Active,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,4700 Long Beach Boulevard - St. Francis Senior Center,,,Brant Beach,NJ,8008,3926,2,http://stfranciscenterlbi.org,,,,,,,,,,,,,,,,
2R01-22944,,"The Greater Mercer Transportation Management Association, Inc.",,,Active,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,15 Roszel Road,,,Princeton,NJ,8540,,2,https://gmtma.org,,,,,,,,,,,,,,,,
2R01-22945,,Town of Kearny,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,645 Kearny Avenue,,,Kearny,NJ,7032,2605,2,http://kearnynj.org,,,,,,,,,,,,,,,,
2R01-22946,,Township of Cranford,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,8 Springfield Avenue,,,Cranford,NJ,7016,2181,2,https://www.cranfordnj.org,,,,,,,,,,,,,,,,
2R01-22948,,Township of Nutley,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,44 Park Avenue,,,Nutley,NJ,7110,2786,2,https://www.nutleynj.org,,,,,,,,,,,,,,,,
2R01-22949,,Township of South Brunswick,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,540 Ridge Road,,,Monmouth Junction,NJ,8852,9808,2,https://www.southbrunswicknj.gov,,,,,,,,,,,,,,,,
2R01-22951,,Township of Union,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,1976 Morris Avenue,,,Union,NJ,7083,3597,2,https://uniontownship.com,,,,,,,,,,,,,,,,
2R01-22952,,Town of Secaucus,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,1203 Paterson Plank Road,,,Secaucus,NJ,7094,3226,2,https://secaucusnj.gov,,,,,,,,,,,,,,,,
2R01-22953,,Township of Bloomfield,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,84 Broad Street - Municipal Plaza,,,Bloomfield,NJ,7003,2522,2,https://www.bloomfieldtwpnj.com,,,,,,,,,,,,,,,,
2R01-22954,,Township of Cherry Hill,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,820 Mercer Street,,,Cherry Hill,NJ,8002,2638,2,https://www.cherryhill-nj.com,,,,,,,,,,,,,,,,
2R01-22955,,Township of Edison,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,2963 Woodbridge Avenue,,,Edison,NJ,8837,3402,2,http://www.edisonnj.org,,,,,,,,,,,,,,,,
2R01-22956,,Township of Ewing,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,2 Jake Garzio Drive,,,Ewing,NJ,8628,1544,2,http://ewingnj.org,,,,,,,,,,,,,,,,
2R01-22957,,Township of Jefferson,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,1033 Weldon Road,,,Lake Hopatcong,NJ,7849,2332,2,http://www.jeffersontownship.net,,,,,,,,,,,,,,,,
2R01-22958,,"Township of Mahwah, Inc.",,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,475 Corporate Drive,,733,Mahwah,NJ,7430,733,2,http://mahwahtwp.org,,,,,,,,,,,,,,,,
2R01-22959,,Township of Monroe,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,12 Halsey Reed Road,,,Monroe Township,NJ,8831,5949,2,http://www.monroetwp.com,,,,,,,,,,,,,,,,
2R01-22960,,Township of North Bergen Inc.,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,4233 Kennedy Boulevard,,,North Bergen,NJ,7047,2779,2,http://www.northbergen.org,,,,,,,,,,,,,,,,
2R01-22961,,Township of Pemberton,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,500 Pemberton-Browns Mills Road,,,Pemberton,NJ,8068,1539,2,http://www.pemberton-twp.com,,,,,,,,,,,,,,,,
2R01-22962,,Township of Pequannock,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,530 Newark Pompton Turnpike,,,Pompton Plains,NJ,7444,1799,2,http://peqtwp.org,,,,,,,,,,,,,,,,
2R01-22963,,Township of Teaneck,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,818 Teaneck Road,,,Teaneck,NJ,7666,4599,2,https://www.teanecknj.gov,,,,,,,,,,,,,,,,
2R01-22964,,Township of Washington,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,,,1106,Turnersville,NJ,8012,1106,2,http://www.twpofwashington.us,,,,,,,,,,,,,,,,
2R01-22965,,Borough of Fairview,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,59 Anderson Avenue,,,Fairview,NJ,7022,2029,2,http://fairviewborough.com,,,,,,,,,,,,,,,,
2R01-22966,,Borough of Fort Lee,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,309 Main Street,,1113,Fort Lee,NJ,7024,4705,2,http://fortleenj.org,,,,,,,,,,,,,,,,
2R01-22967,,"Borough of Sayreville, Inc.",,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,167 Main Street,,,Sayreville,NJ,8872,1149,2,http://www.sayreville.com,,,,,,,,,,,,,,,,
2R01-22968,,City of Paterson,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,165 5th Avenue - 2nd Floor,,,Paterson,NJ,7524,1220,2,https://www.patersonnj.gov,,,,,,,,,,,,,,,,
2R01-22969,,County of Hudson,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,830 Bergen Avenue,,,Jersey City,NJ,7306,4507,2,http://www.hudsoncountynj.org,,,,,,,,,,,,,,,,
2R01-22970,,Lakewood Township,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,231 Third Street,,,Lakewood,NJ,8701,3220,2,http://www.lakewoodnj.gov,,,,,,,,,,,,,,,,
2R01-22971,,Mid-Atlantic States Career and Education Center Inc.,,,Active,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,111 S. Broadway,,,Pennsville,NJ,8070,2038,2,https://wegrowpeople.org,,,,,,,,,,,,,,,,
2R01-22972,,Princeton,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,400 Witherspoon Street,,,Princeton,NJ,8542,3400,2,https://princetonnj.gov,,,,,,,,,,,,,,,,
2R01-22973,,The Township of South Orange Village Inc.,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,5 Mead Street,,,South Orange,NJ,7079,1901,2,https://southorange.org,,,,,,,,,,,,,,,,
2R01-22974,,Township of Brick,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,401 Chambersbridge Road,,,Brick,NJ,8723,2807,2,http://www.bricktownship.net,,,,,,,,,,,,,,,,
2R01-22975,,Township of Livingston,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,204 Hillside Avenue,,,Livingston,NJ,7039,3646,2,https://livingstonnj.org,,,,,,,,,,,,,,,,
2R01-22976,,Township of Long Beach,,,Active,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",2R01,NJ Transit,Asset Subrecipient,6/30/2019,10/31/2019,6805 Long Beach Boulevard,,,Brant Beach,NJ,8008,3661,2,https://longbeachtownship.com,,,,,,,,,,,,,,,,
